@relation action2

@attribute need1 numeric
@attribute need2 numeric
@attribute need3 numeric
@attribute happiness numeric
@attribute day numeric
@attribute hour numeric
@attribute reward numeric

@data
10,6,6,4,0,12,6
8,4,16,4,0,18,6
4,4,16,6,0,22,6
9,9,9,0,0,1,-1000
8,12,8,0,0,2,-1000
12,4,12,1,0,6,5
11,7,11,1,0,7,5
10,10,10,1,0,8,5
12,12,8,1,0,10,5
11,15,7,1,0,11,5
10,18,6,1,0,12,5
7,15,7,4,0,19,5
6,18,6,4,0,20,5
4,20,4,5,0,22,5
10,6,10,1,0,4,-1000
9,9,9,1,0,5,-1000
8,12,8,1,0,6,-1000
7,15,7,1,0,7,-1000
11,15,3,2,0,11,-1000
10,18,2,2,0,12,-1000
9,21,1,2,0,13,-1000
8,24,0,2,0,14,-1000
9,9,9,0,0,1,2
18,6,6,1,0,8,2
17,9,5,1,0,9,2
16,12,4,1,0,10,2
14,14,6,1,0,12,2
16,16,4,1,0,14,2
15,15,11,1,0,19,2
13,17,13,1,0,21,2
14,18,10,2,1,0,2
8,8,8,1,0,2,5
6,10,10,1,0,4,5
5,13,9,1,0,5,5
7,11,15,1,0,11,5
7,7,15,4,0,19,5
6,10,14,4,0,20,5
5,13,13,4,0,21,5
4,16,12,4,0,22,5
13,5,9,1,0,5,-1000
26,2,2,2,0,12,-1000
